name,stuff,bv,difficulty,tags,methods,tools
杂豆饭+清炒小白菜+核桃,,Screenshot_20240716_095553_com_x_626_y_20898_w_528_h_528.png,,,,
南瓜蛋奶,,Screenshot_20240715_224736_com_x_66_y_32270_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225534_com_x_66_y_25194_w_528_h_528.png,,,,
葡萄,,Screenshot_20240716_100040_com_x_66_y_18172_w_528_h_528.png,,,,
市售全麦贝果,,Screenshot_20240715_225113_com_x_66_y_17534_w_528_h_528.png,,,,
香菇西兰花,,Screenshot_20240716_095918_com_x_66_y_21758_w_528_h_528.png,,,,
无糖豆浆+复合维生素,,Screenshot_20240715_225219_com_x_66_y_31836_w_528_h_528.png,,,,
老醋木耳,,Screenshot_20240715_230644_com_x_626_y_5144_w_528_h_528.png,,,,
市售全麦吐司,,Screenshot_20240715_225351_com_x_66_y_15097_w_528_h_528.png,,,,
青椒炒豬肝,,Screenshot_20240716_095700_com_x_626_y_36951_w_528_h_528.png,,,,
山药炒荷兰豆,,Screenshot_20240715_230531_com_x_66_y_3902_w_528_h_528.png,,,,
二米饭,,Screenshot_20240715_230429_com_x_66_y_18964_w_528_h_528.png,,,,
蒜蓉娃娃菜,,Screenshot_20240716_095225_com_x_66_y_31288_w_528_h_528.png,,,,
库尔勒香梨,,Screenshot_20240716_100214_com_x_66_y_26016_w_528_h_528.png,,,,
青椒炒花蛤,,Screenshot_20240715_225746_com_x_66_y_21634_w_528_h_528.png,,,,
酸奶+蛋白粉+小叶橘,,Screenshot_20240715_230115_com_x_66_y_36906_w_528_h_528.png,,,,
煮鸡蛋,,Screenshot_20240715_225351_com_x_626_y_22584_w_528_h_528.png,,,,
蒸红薯,,Screenshot_20240715_225008_com_x_66_y_18276_w_528_h_528.png,,,,
凉拌菠菜,,Screenshot_20240716_095918_com_x_66_y_30280_w_528_h_528.png,,,,
凉拌双花,,Screenshot_20240715_225219_com_x_66_y_4908_w_528_h_528.png,,,,
清蒸茄子,,Screenshot_20240716_095445_com_x_626_y_30374_w_528_h_528.png,,,,
炒杂菜,,Screenshot_20240716_100214_com_x_66_y_4625_w_528_h_528.png,,,,
牛奶燕麦片+煎鸡蛋,,Screenshot_20240716_095225_com_x_66_y_1722_w_528_h_528.png,,,,
苹果,,Screenshot_20240715_230429_com_x_626_y_14447_w_528_h_528.png,,,,
时蔬牛肉炒拌饭,,Screenshot_20240716_095445_com_x_66_y_11656_w_528_h_528.png,,,,
藜麦饭团,,Screenshot_20240716_095809_com_x_66_y_25790_w_528_h_528.png,,,,
糙米饭,,Screenshot_20240715_230429_com_x_66_y_36422_w_528_h_528.png,,,,
牛奶燕麦+煎蛋+拍黄瓜+香梨,,Screenshot_20240715_230007_com_x_66_y_37820_w_528_h_528.png,,,,
燕麦大米南瓜粥,,Screenshot_20240715_225534_com_x_66_y_27134_w_528_h_528.png,,,,
豉汁蒸鲈鱼+牛奶+橙子,,Screenshot_20240716_095445_com_x_66_y_17946_w_528_h_528.png,,,,
尖椒炒菜花,,Screenshot_20240715_225219_com_x_66_y_28420_w_528_h_528.png,,,,
水煮油菜,,Screenshot_20240715_230644_com_x_626_y_9646_w_528_h_528.png,,,,
番茄西蓝花,,Screenshot_20240716_100040_com_x_66_y_35347_w_528_h_528.png,,,,
市售南瓜发糕,,Screenshot_20240715_225008_com_x_66_y_14202_w_528_h_528.png,,,,
牛油果番茄奶酪拌,,Screenshot_20240715_225746_com_x_626_y_1148_w_528_h_528.png,,,,
黑椒牛柳荞麦面,,Screenshot_20240715_225351_com_x_66_y_5744_w_528_h_528.png,,,,
香煎龙利鱼,,Screenshot_20240715_225219_com_x_626_y_18560_w_528_h_528.png,,,,
巴旦木紫薯奶昔,,Screenshot_20240715_225634_com_x_66_y_34202_w_528_h_528.png,,,,
三文鱼炖豆腐,,Screenshot_20240716_100040_com_x_626_y_12774_w_528_h_528.png,,,,
红豆米饭,,Screenshot_20240715_230531_com_x_66_y_14552_w_528_h_528.png,,,,
煎三文鱼豆腐,,Screenshot_20240715_225746_com_x_66_y_2772_w_528_h_528.png,,,,
煎鸡胸肉,,Screenshot_20240715_225847_com_x_626_y_24448_w_528_h_528.png,,,,
橘子,,Screenshot_20240715_230326_com_x_626_y_37738_w_528_h_528.png,,,,
二米饭,,Screenshot_20240716_095445_com_x_66_y_22822_w_528_h_528.png,,,,
脱脂纯牛奶或鲜牛奶,,Screenshot_20240715_225746_com_x_66_y_25254_w_528_h_528.png,,,,
奶香土豆泥,,Screenshot_20240715_224736_com_x_66_y_24538_w_528_h_528.png,,,,
菠菜猪肝汤,,Screenshot_20240715_230007_com_x_626_y_13840_w_528_h_528.png,,,,
无油荷包蛋,,Screenshot_20240715_225534_com_x_626_y_27134_w_528_h_528.png,,,,
红豆米饭,,Screenshot_20240716_100040_com_x_66_y_30020_w_528_h_528.png,,,,
金针菇炒牛柳,,Screenshot_20240715_225113_com_x_626_y_28204_w_528_h_528.png,,,,
二米饭,,Screenshot_20240716_100040_com_x_66_y_17508_w_528_h_528.png,,,,
肉末茄汁口蘑意面,,Screenshot_20240716_100345_com_x_66_y_21343_w_528_h_528.png,,,,
紫菜蛋花汤,,Screenshot_20240716_095700_com_x_626_y_8164_w_528_h_528.png,,,,
蚝油秋葵,,Screenshot_20240716_100040_com_x_66_y_9822_w_528_h_528.png,,,,
改版螺蛳粉,,Screenshot_20240716_100345_com_x_66_y_6606_w_528_h_528.png,,,,
茶树菇煲鸡+燕麦饭,,Screenshot_20240716_095225_com_x_66_y_13430_w_528_h_528.png,,,,
杂豆粥,,Screenshot_20240715_230326_com_x_66_y_34706_w_528_h_528.png,,,,
蒸紫薯,,Screenshot_20240715_225113_com_x_66_y_4260_w_528_h_528.png,,,,
豆腐香蕉燕麦饼,,Screenshot_20240716_095342_com_x_66_y_34107_w_528_h_528.png,,,,
市售杂粮馒头,,Screenshot_20240715_225113_com_x_66_y_33324_w_528_h_528.png,,,,
紫菜蛋花汤,,Screenshot_20240716_095700_com_x_626_y_26232_w_528_h_528.png,,,,
绿豆稠粥,,Screenshot_20240715_230531_com_x_66_y_24314_w_528_h_528.png,,,,
无糖酸奶+复合维生素,,Screenshot_20240715_225351_com_x_66_y_2564_w_528_h_528.png,,,,
素炒有机菜花,,Screenshot_20240715_230531_com_x_626_y_26014_w_528_h_528.png,,,,
猪里脊炒莴笋丝,,Screenshot_20240716_095553_com_x_66_y_29478_w_528_h_528.png,,,,
冲杂粮粉+葡萄干,,Screenshot_20240715_230224_com_x_66_y_3864_w_528_h_528.png,,,,
无糖酸奶+复合维生素,,Screenshot_20240715_225113_com_x_66_y_18198_w_528_h_528.png,,,,
秋葵炒瘦肉,,Screenshot_20240716_095225_com_x_626_y_33146_w_528_h_528.png,,,,
醪糟燕麦冲奶粉+蛋白粉+巴旦木,,Screenshot_20240715_230115_com_x_66_y_34466_w_528_h_528.png,,,,
煮鸡蛋,,Screenshot_20240715_225534_com_x_626_y_33068_w_528_h_528.png,,,,
香菇酿虾,,Screenshot_20240715_225113_com_x_626_y_35694_w_528_h_528.png,,,,
橘子,,Screenshot_20240716_100214_com_x_626_y_22682_w_528_h_528.png,,,,
苹果,,Screenshot_20240716_095809_com_x_66_y_13068_w_528_h_528.png,,,,
凉拌秋葵,,Screenshot_20240716_095918_com_x_626_y_1020_w_528_h_528.png,,,,
清炒时蔬,,Screenshot_20240715_225351_com_x_66_y_18128_w_528_h_528.png,,,,
白菜豆腐汤+腰果,,Screenshot_20240716_095225_com_x_66_y_34030_w_528_h_528.png,,,,
香菇土豆泥,,Screenshot_20240716_095445_com_x_626_y_2478_w_528_h_528.png,,,,
南瓜奶昔+凉拌生菜,,Screenshot_20240716_095918_com_x_626_y_19470_w_528_h_528.png,,,,
葱花鸡蛋饼+香菇炒油菜,,Screenshot_20240715_230007_com_x_66_y_15160_w_528_h_528.png,,,,
哈密瓜,,Screenshot_20240715_230644_com_x_626_y_12684_w_528_h_528.png,,,,
清炒鸡丁柿椒丁,,Screenshot_20240715_225113_com_x_626_y_4258_w_528_h_528.png,,,,
脫脂牛奶,,Screenshot_20240716_100040_com_x_626_y_33872_w_528_h_528.png,,,,
香蕉奶昔+煎鸡蛋,,Screenshot_20240716_095342_com_x_66_y_3648_w_528_h_528.png,,,,
草莓100克,,Screenshot_20240716_100345_com_x_66_y_27770_w_528_h_528.png,,,,
小白菜炒木耳,,Screenshot_20240716_095700_com_x_626_y_10978_w_528_h_528.png,,,,
蔥爆羊肉,,Screenshot_20240715_230007_com_x_66_y_19942_w_528_h_528.png,,,,
西红柿炒蛋,,Screenshot_20240715_225008_com_x_66_y_25766_w_528_h_528.png,,,,
蚝油生菜,,Screenshot_20240715_225634_com_x_626_y_23002_w_528_h_528.png,,,,
无糖酸奶,,Screenshot_20240716_095445_com_x_66_y_4102_w_528_h_528.png,,,,
豆腐烧带鱼,,Screenshot_20240716_095809_com_x_626_y_28074_w_528_h_528.png,,,,
豆沙包+四季豆木耳炒肉,,Screenshot_20240716_095445_com_x_66_y_32968_w_528_h_528.png,,,,
脫脂牛奶,,Screenshot_20240715_230429_com_x_626_y_10306_w_528_h_528.png,,,,
烤鸡腿+烤红薯+烤口蘑,,Screenshot_20240716_095918_com_x_66_y_18352_w_528_h_528.png,,,,
紫米饭,,Screenshot_20240715_230007_com_x_66_y_4468_w_528_h_528.png,,,,
凉拌油菜+全麦馒头,,Screenshot_20240716_095225_com_x_66_y_8830_w_528_h_528.png,,,,
意大利面,,Screenshot_20240716_100040_com_x_66_y_16032_w_528_h_528.png,,,,
樱桃,,Screenshot_20240715_225746_com_x_66_y_36584_w_528_h_528.png,,,,
市售全麦馒头+草莓柿子,,Screenshot_20240716_100040_com_x_66_y_13438_w_528_h_528.png,,,,
猪肉白菜蒸饺,,Screenshot_20240716_100214_com_x_66_y_34162_w_528_h_528.png,,,,
三色荞麦面,,Screenshot_20240716_095918_com_x_66_y_31092_w_528_h_528.png,,,,
鹰嘴豆杂粮饭,,Screenshot_20240715_224736_com_x_66_y_10690_w_528_h_528.png,,,,
茄子炒豆角,,Screenshot_20240716_095809_com_x_66_y_32740_w_528_h_528.png,,,,
牛油果鸡蛋三明治+红枣豆浆,,Screenshot_20240715_225746_com_x_66_y_19940_w_528_h_528.png,,,,
牛肉小炒豆芽,,Screenshot_20240716_095342_com_x_66_y_7944_w_528_h_528.png,,,,
滑蛋鱼柳,,Screenshot_20240716_095342_com_x_66_y_12544_w_528_h_528.png,,,,
西红柿,,Screenshot_20240715_225746_com_x_66_y_32512_w_528_h_528.png,,,,
无糖酸奶+复合维生素,,Screenshot_20240715_225113_com_x_626_y_31620_w_528_h_528.png,,,,
番茄蛋捲,,Screenshot_20240716_095342_com_x_626_y_21808_w_528_h_528.png,,,,
荷塘月色,,Screenshot_20240716_095918_com_x_66_y_2644_w_528_h_528.png,,,,
二米饭,,Screenshot_20240716_100214_com_x_66_y_17354_w_528_h_528.png,,,,
肉丝荞麦面+无糖酸奶+苹果,,Screenshot_20240715_230115_com_x_66_y_1174_w_528_h_528.png,,,,
蒸蛋羹,,Screenshot_20240715_225113_com_x_626_y_1890_w_528_h_528.png,,,,
孜然羊肉,,Screenshot_20240715_224736_com_x_66_y_21000_w_528_h_528.png,,,,
糙米饭,,Screenshot_20240716_095918_com_x_66_y_34570_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225113_com_x_66_y_37166_w_528_h_528.png,,,,
黑米饭,,Screenshot_20240716_100214_com_x_66_y_15878_w_528_h_528.png,,,,
清炒空心菜,,Screenshot_20240716_095225_com_x_626_y_26252_w_528_h_528.png,,,,
无油荷包蛋,,Screenshot_20240715_225219_com_x_626_y_1876_w_528_h_528.png,,,,
卤鸡腿,,Screenshot_20240716_100040_com_x_626_y_22170_w_528_h_528.png,,,,
番茄金针菇鸡肉片,,Screenshot_20240715_230326_com_x_626_y_29536_w_528_h_528.png,,,,
燕麦米饭,,Screenshot_20240716_100040_com_x_66_y_26026_w_528_h_528.png,,,,
全麦面包+煮鸡蛋+脱脂牛奶,,Screenshot_20240715_230531_com_x_626_y_2126_w_528_h_528.png,,,,
纯牛奶,,Screenshot_20240716_095809_com_x_66_y_18690_w_528_h_528.png,,,,
腐乳菠菜,,Screenshot_20240715_224736_com_x_66_y_7080_w_528_h_528.png,,,,
彩椒油麦菜,,Screenshot_20240715_225634_com_x_66_y_28452_w_528_h_528.png,,,,
红豆蒸谷米饭,,Screenshot_20240715_230326_com_x_626_y_20278_w_528_h_528.png,,,,
市售全麦花卷,,Screenshot_20240715_225351_com_x_66_y_22584_w_528_h_528.png,,,,
涼拌木耳小油菜,,Screenshot_20240715_230224_com_x_66_y_31908_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225219_com_x_66_y_21742_w_528_h_528.png,,,,
番茄金针菇浓汤,,Screenshot_20240716_095225_com_x_66_y_12618_w_528_h_528.png,,,,
菠菜虾仁蒸蛋,,Screenshot_20240716_095809_com_x_66_y_30452_w_528_h_528.png,,,,
土豆丝鸡蛋饼+牛奶+纸皮核桃,,Screenshot_20240715_230115_com_x_66_y_8012_w_528_h_528.png,,,,
时蔬鸡丝面+草莓,,Screenshot_20240715_230007_com_x_66_y_9128_w_528_h_528.png,,,,
手撕包菜,,Screenshot_20240715_225746_com_x_626_y_17214_w_528_h_528.png,,,,
混合蒸菜,,Screenshot_20240715_230224_com_x_626_y_21922_w_528_h_528.png,,,,
快手荞麦面,,Screenshot_20240716_095700_com_x_66_y_33620_w_528_h_528.png,,,,
菠菜猪肝汤,,Screenshot_20240715_230531_com_x_626_y_20840_w_528_h_528.png,,,,
芋泥奶茶+橙子,,Screenshot_20240716_095809_com_x_66_y_29788_w_528_h_528.png,,,,
清炒豆芽,,Screenshot_20240715_225219_com_x_66_y_36573_w_528_h_528.png,,,,
花蛤丝瓜汤,,Screenshot_20240716_095553_com_x_66_y_14602_w_528_h_528.png,,,,
香菇鸡肉油麦菜,,Screenshot_20240716_095342_com_x_66_y_34912_w_528_h_528.png,,,,
东北乱炖,,Screenshot_20240716_100040_com_x_626_y_26834_w_528_h_528.png,,,,
酸奶西多士,,Screenshot_20240715_224736_com_x_66_y_25788_w_528_h_528.png,,,,
酱牛肉,,Screenshot_20240715_230429_com_x_626_y_29540_w_528_h_528.png,,,,
燕麦米饭,,Screenshot_20240715_230429_com_x_66_y_6840_w_528_h_528.png,,,,
凉拌紫甘蓝,,Screenshot_20240715_230115_com_x_626_y_9778_w_528_h_528.png,,,,
红豆米饭,,Screenshot_20240716_100214_com_x_66_y_12692_w_528_h_528.png,,,,
牛肉小炒豆芽,,Screenshot_20240715_225746_com_x_66_y_12206_w_528_h_528.png,,,,
焙煎芝麻汁拌豆腐皮油麦菜,,Screenshot_20240715_225847_com_x_66_y_7868_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225534_com_x_66_y_19262_w_528_h_528.png,,,,
香菇娃娃菜+无油煎蛋,,Screenshot_20240715_225634_com_x_66_y_21378_w_528_h_528.png,,,,
蒜苗炒鸡蛋+绿豆小米粥,,Screenshot_20240716_095225_com_x_66_y_33146_w_528_h_528.png,,,,
煮鸡蛋,,Screenshot_20240716_100214_com_x_626_y_23728_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225113_com_x_66_y_29680_w_528_h_528.png,,,,
绿豆燕麦米杂粮饭,,Screenshot_20240715_225634_com_x_626_y_26390_w_528_h_528.png,,,,
香煎龙利鱼,,Screenshot_20240716_095553_com_x_66_y_24664_w_528_h_528.png,,,,
香菇鸡粒粥,,Screenshot_20240716_095445_com_x_66_y_25344_w_528_h_528.png,,,,
蒸虾皮小油菜,,Screenshot_20240715_230115_com_x_626_y_32323_w_528_h_528.png,,,,
煎三鱼,,Screenshot_20240715_224736_com_x_66_y_7892_w_528_h_528.png,,,,
海带丝拌白菜心,,Screenshot_20240716_100214_com_x_66_y_19730_w_528_h_528.png,,,,
清炒芥蓝,,Screenshot_20240715_230644_com_x_66_y_6844_w_528_h_528.png,,,,
圆白菜炒香干瘦肉+紫米馒头,,Screenshot_20240716_095700_com_x_66_y_18604_w_528_h_528.png,,,,
苹果,,Screenshot_20240716_095342_com_x_626_y_36538_w_528_h_528.png,,,,
红豆紫米杂粮饭+杏仁,,Screenshot_20240715_224736_com_x_66_y_6416_w_528_h_528.png,,,,
蒜香凤尾,,Screenshot_20240716_095918_com_x_626_y_18352_w_528_h_528.png,,,,
桃子,,Screenshot_20240716_095809_com_x_66_y_20978_w_528_h_528.png,,,,
猕猴桃100克,,Screenshot_20240716_100345_com_x_66_y_26146_w_528_h_528.png,,,,
清炒空心菜+香蕉,,Screenshot_20240715_230115_com_x_626_y_8896_w_528_h_528.png,,,,
花菜蛋炒饭,,Screenshot_20240715_225847_com_x_626_y_17190_w_528_h_528.png,,,,
市售葱花卷,,Screenshot_20240715_225534_com_x_66_y_33068_w_528_h_528.png,,,,
煮鸡蛋,,Screenshot_20240715_225113_com_x_626_y_17534_w_528_h_528.png,,,,
荷兰豆炒鸡丁+火龙果+无糖酸奶,,Screenshot_20240715_224736_com_x_66_y_9953_w_528_h_528.png,,,,
炒鸡蛋,,Screenshot_20240715_230531_com_x_626_y_23644_w_528_h_528.png,,,,
绿豆汤1杯,,Screenshot_20240715_230326_com_x_626_y_18136_w_528_h_528.png,,,,
蛋煎馒头片,,Screenshot_20240715_225746_com_x_626_y_10582_w_528_h_528.png,,,,
蒸蛋羹,,Screenshot_20240715_225351_com_x_626_y_8496_w_528_h_528.png,,,,
紫米馒头+冬瓜豆腐汤+香菇油菜,,Screenshot_20240716_095553_com_x_66_y_18084_w_528_h_528.png,,,,
清蒸带鱼,,Screenshot_20240716_095700_com_x_66_y_21488_w_528_h_528.png,,,,
杂粮饭,,Screenshot_20240715_225113_com_x_66_y_28203_w_528_h_528.png,,,,
素炒红苋菜,,Screenshot_20240716_095700_com_x_66_y_39909_w_528_h_528.png,,,,
凉拌香芹,,Screenshot_20240715_225113_com_x_626_y_14775_w_528_h_528.png,,,,
菠菜馒头,,Screenshot_20240715_230007_com_x_66_y_29584_w_528_h_528.png,,,,
厚蛋烧,,Screenshot_20240715_230115_com_x_66_y_11100_w_528_h_528.png,,,,
熟板栗,,Screenshot_20240716_100040_com_x_626_y_32162_w_528_h_528.png,,,,
韭菜炒猪肝+大米小米粥,,Screenshot_20240716_095225_com_x_626_y_21586_w_528_h_528.png,,,,
清蒸鲫鱼,,Screenshot_20240716_095700_com_x_66_y_31996_w_528_h_528.png,,,,
西芹炒牛肉,,Screenshot_20240715_225534_com_x_626_y_30316_w_528_h_528.png,,,,
番茄虾仁意面,,Screenshot_20240715_224736_com_x_66_y_20118_w_528_h_528.png,,,,
杂粮饭,,Screenshot_20240715_225219_com_x_66_y_13440_w_528_h_528.png,,,,
韭菜炒豆皮,,Screenshot_20240716_095809_com_x_626_y_21790_w_528_h_528.png,,,,
复合维生素,,Screenshot_20240715_225219_com_x_66_y_2540_w_528_h_528.png,,,,
二米饭,,Screenshot_20240716_100214_com_x_66_y_11216_w_528_h_528.png,,,,
全麦三鲜饺子,,Screenshot_20240716_095809_com_x_66_y_31264_w_528_h_528.png,,,,
亚麻籽燕麦黑豆浆1份,,Screenshot_20240715_230224_com_x_626_y_26506_w_528_h_528.png,,,,
红薯紫米饭,,Screenshot_20240715_230224_com_x_66_y_17340_w_528_h_528.png,,,,
红豆蒸谷米饭,,Screenshot_20240715_230326_com_x_66_y_24352_w_528_h_528.png,,,,
时蔬沙拉杯,,Screenshot_20240715_225847_com_x_626_y_13116_w_528_h_528.png,,,,
咖喱鸡盖浇面,,Screenshot_20240715_225634_com_x_66_y_29264_w_528_h_528.png,,,,
菠菜虾仁蒸蛋,,Screenshot_20240715_225008_com_x_66_y_1820_w_528_h_528.png,,,,
藜麦糙米杂粮饭,,Screenshot_20240715_225634_com_x_626_y_22190_w_528_h_528.png,,,,
黃瓜炒肉片,,Screenshot_20240715_230429_com_x_626_y_34054_w_528_h_528.png,,,,
清炒油麦菜,,Screenshot_20240715_225113_com_x_66_y_13072_w_528_h_528.png,,,,
番茄意面,,Screenshot_20240716_095342_com_x_626_y_14020_w_528_h_528.png,,,,
荞麦面条+酱牛肉+番茄炒花菜,,Screenshot_20240716_100214_com_x_66_y_7146_w_528_h_528.png,,,,
豆腐烩娃娃菜,,Screenshot_20240715_225634_com_x_66_y_20128_w_528_h_528.png,,,,
二米饭,,Screenshot_20240715_225746_com_x_626_y_30368_w_528_h_528.png,,,,
紫米山药粥,,Screenshot_20240716_095809_com_x_66_y_21790_w_528_h_528.png,,,,
二米饭,,Screenshot_20240715_230531_com_x_66_y_26680_w_528_h_528.png,,,,
土豆丝窝蛋饼,,Screenshot_20240715_225113_com_x_66_y_31620_w_528_h_528.png,,,,
麦胚红枣豆浆,,Screenshot_20240715_230224_com_x_626_y_15634_w_528_h_528.png,,,,
橙子,,Screenshot_20240716_100040_com_x_626_y_3228_w_528_h_528.png,,,,
燕麦粥,,Screenshot_20240716_095342_com_x_66_y_29951_w_528_h_528.png,,,,
韭菜鸡蛋饼,,Screenshot_20240715_230429_com_x_626_y_9644_w_528_h_528.png,,,,
豌豆滑蛋虾仁,,Screenshot_20240715_225008_com_x_626_y_23398_w_528_h_528.png,,,,
脱脂纯牛奶或鲜牛奶,,Screenshot_20240716_100214_com_x_626_y_30976_w_528_h_528.png,,,,
鸡蛋土豆丝饼+牛奶,,Screenshot_20240716_095225_com_x_66_y_26258_w_528_h_528.png,,,,
二米饭,,Screenshot_20240715_230429_com_x_66_y_28878_w_528_h_528.png,,,,
杏鲍菇炖鸭肉,,Screenshot_20240716_095809_com_x_626_y_2634_w_528_h_528.png,,,,
清炒豌豆苗+腰果,,Screenshot_20240716_095225_com_x_626_y_28546_w_528_h_528.png,,,,
三文鱼鸡蛋沙拉,,Screenshot_20240715_224736_com_x_626_y_9142_w_528_h_528.png,,,,
大白菜香菇炖肉+蒸玉米、紫薯,,Screenshot_20240716_095700_com_x_66_y_16674_w_528_h_528.png,,,,
茄子烤芦笋,,Screenshot_20240716_100345_com_x_626_y_22958_w_528_h_528.png,,,,
大虾炒白菜+紫薯米饭,,Screenshot_20240716_095553_com_x_66_y_27548_w_528_h_528.png,,,,
蒜香鸡翅,,Screenshot_20240716_095225_com_x_66_y_8018_w_528_h_528.png,,,,
蒸山药,,Screenshot_20240716_095809_com_x_66_y_19502_w_528_h_528.png,,,,
冬瓜海带烧肉,,Screenshot_20240716_100040_com_x_626_y_34678_w_528_h_528.png,,,,
蒸土豆,,Screenshot_20240716_095445_com_x_626_y_14468_w_528_h_528.png,,,,
市售全麦餐包,,Screenshot_20240715_225219_com_x_66_y_31172_w_528_h_528.png,,,,
芋头烧鸭+绿豆粥,,Screenshot_20240716_095553_com_x_66_y_33696_w_528_h_528.png,,,,
燕麦牛奶,,Screenshot_20240716_100214_com_x_66_y_33350_w_528_h_528.png,,,,
茄汁燉牛肉,,Screenshot_20240716_100040_com_x_626_y_4040_w_528_h_528.png,,,,
蒸玉米,,Screenshot_20240715_225008_com_x_66_y_28521_w_528_h_528.png,,,,
滑蛋牛油果吐司,,Screenshot_20240715_224736_com_x_66_y_19306_w_528_h_528.png,,,,
西葫芦炒肉丁,,Screenshot_20240715_230531_com_x_66_y_26014_w_528_h_528.png,,,,
厚蛋烧,,Screenshot_20240716_095445_com_x_66_y_28750_w_528_h_528.png,,,,
橘子,,Screenshot_20240715_230531_com_x_626_y_4566_w_528_h_528.png,,,,
土豆豆角焖面,,Screenshot_20240715_230007_com_x_66_y_25092_w_528_h_528.png,,,,
油菜豆腐汤,,Screenshot_20240716_095700_com_x_626_y_25184_w_528_h_528.png,,,,
燕麦米饭+蓝莓,,Screenshot_20240715_230326_com_x_66_y_3854_w_528_h_528.png,,,,
焙煎芝麻汁拌豆腐皮油麦菜,,Screenshot_20240716_100214_com_x_66_y_35786_w_528_h_528.png,,,,
原味巴旦木仁,,Screenshot_20240715_225847_com_x_66_y_11410_w_528_h_528.png,,,,
香煎三文鱼+二米饭,,Screenshot_20240716_095553_com_x_66_y_32884_w_528_h_528.png,,,,
加餐,,Screenshot_20240715_225008_com_x_66_y_39338_w_528_h_528.png,,,,
